,Adsorption Energy,Bulk ICOHP,Oxidation State,Metal Symbol,Outer Electrons,Adsorbate,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Surface Oxidation State
0,2.80479317999999,-0.05554,4,Ge,10,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/10_GeO2/no_sym/ICOHPLIST.lobster,(14.294074295291788+0j),0.0,-0.06548198318699389,3d,-5.8658225,3.333
1,2.7213420799999994,-0.05554,4,Ge,10,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/10_GeO2/no_sym/ICOHPLIST.lobster,(14.294074295291788+0j),0.0,-0.06548198318699389,3d,-5.8658225,4.0
2,2.6242610900000045,-0.07220000000000001,3,Ga,10,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+3/10_Ga2O3/no_sym/ICOHPLIST.lobster,(14.596862988096058+0j),0.0,-0.11699845475831039,3d,-5.867330000000002,2.833
3,2.659820410000009,-0.17307999999999998,4,Ga,9,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/09_GaO2/no_sym/ICOHPLIST.lobster,(13.994472574330214+0j),0.0,-0.13652013716328595,3d,-4.991985,3.333
4,2.4857831899999923,-0.17307999999999998,4,Ga,9,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/09_GaO2/no_sym/ICOHPLIST.lobster,(13.994472574330214+0j),0.0,-0.13652013716328595,3d,-4.991985,4.0
5,2.555229259999976,-0.88185,5,Ga,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+5/08_Ga2O5/no_sym/ICOHPLIST.lobster,(13.35043837349467+0j),0.0,-0.12758565623310786,3d,-4.037748,4.0
6,2.8833474400000085,-0.6884600000000001,3,Zn,9,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+3/09_Zn2O3/no_sym/ICOHPLIST.lobster,(14.255926956437358+0j),0.0,-0.7336588441700214,3d,0.0,2.833
7,2.586701480000002,-1.3871900000000004,4,Zn,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/08_ZnO2/no_sym/ICOHPLIST.lobster,(13.599860464771206+0j),0.0,-1.2472570312997928,3d,0.0,3.333
8,2.1837348100000042,-1.3871900000000004,4,Zn,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/08_ZnO2/no_sym/ICOHPLIST.lobster,(13.599860464771206+0j),0.0,-1.2472570312997928,3d,0.0,4.0
9,2.8485477099999983,-0.07533000000000001,2,Zn,10,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+2/09_ZnO/no_sym/ICOHPLIST.lobster,(14.869571643101441+0j),0.0,-0.3772167583173599,3d,0.0,1.93
10,2.5461048800000015,-2.5193900000000005,3,Cu,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+3/08_Cu2O3/no_sym/ICOHPLIST.lobster,(13.221493662399181+0j),0.0,-2.4977996307366155,3d,0.0,2.833
11,2.46311034,-3.4564599999999994,4,Cu,7,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/07_CuO2/no_sym/ICOHPLIST.lobster,(12.533828338542305+0j),0.0,-3.3841906559613713,3d,0.0,3.333
12,2.430947500000002,-3.4564599999999994,4,Cu,7,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/07_CuO2/no_sym/ICOHPLIST.lobster,(12.533828338542305+0j),0.0,-3.3841906559613713,3d,0.0,4.0
13,2.669226144999996,-1.3256299999999999,2,Cu,9,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+2/08_CuO/no_sym/ICOHPLIST.lobster,(13.85930748292667+0j),0.0,-1.5849234693918106,3d,0.0,1.93
14,2.7248411400000236,-3.15695,3,Ni,7,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+3/07_Ni2O3/no_sym/ICOHPLIST.lobster,(12.520676338590219+0j),0.0,-3.017022189057017,3d,0.0,2.833
15,2.3835993299999956,-5.83127,4,Ni,6,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/06_NiO2/no_sym/ICOHPLIST.lobster,(11.771968010397828+0j),0.0,-5.421909495202062,3d,0.0,3.333
16,2.490653629999997,-5.83127,4,Ni,6,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/06_NiO2/no_sym/ICOHPLIST.lobster,(11.771968010397828+0j),0.0,-5.421909495202062,3d,0.0,4.0
17,2.5598544149999967,-1.49219,2,Ni,8,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+2/07_NiO/no_sym/ICOHPLIST.lobster,(13.207620081293902+0j),0.0,-1.7299090934432702,3d,0.0,1.93
18,2.0000158200000158,-5.549919999999999,3,Co,6,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+3/06_Co2O3/no_sym/ICOHPLIST.lobster,(11.809300582557757+0j),0.0,-5.46558139865635,3d,0.0,2.833
19,2.3880559099999914,-7.155140000000001,4,Co,5,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/05_CoO2/no_sym/ICOHPLIST.lobster,(10.97871922674654+0j),0.0,-7.279180942845567,3d,0.0,3.333
20,2.3479583299999973,-7.155140000000001,4,Co,5,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+4/05_CoO2/no_sym/ICOHPLIST.lobster,(10.97871922674654+0j),0.0,-7.279180942845567,3d,0.0,4.0
21,2.1770342899999946,-7.89924,5,Co,4,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+5/04_Co2O5/no_sym/ICOHPLIST.lobster,(10.041247532165725+0j),0.0,-7.676527523986221,3d,0.0,4.0
22,2.194446589999984,-7.89924,5,Co,4,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+5/04_Co2O5/no_sym/ICOHPLIST.lobster,(10.041247532165725+0j),0.0,-7.676527523986221,3d,0.0,5.0
23,2.427936145000004,-1.72544,2,Co,7,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+2/06_CoO/no_sym/ICOHPLIST.lobster,(12.560383297740012+0j),0.0,-2.1996430721510385,3d,0.0,1.93
24,2.886088749999999,-3.4873399999999997,3,Fe,5,O-OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3/../DFT_Data/bulk_data/+3/05_Fe2O3/no_sym/ICOHPLIST.lobster,(11.03806711391862+0j),0.0,-3.5440882443228956,3d,0.0,2.833
